xmin,ymin,xmax,ymax,Object,label
546.74,254.27,608.3,282.68,Copy,box
795.0,290.0,992.0,317.0,Pol-Elektra Sp.z o.o.,seller_name
132.43,292.82,524.43,315.82,"SEG Automotive Product (China).Co.,Ltd.",buyer_name
133.37,317.5,506.03,336.0,"6th Floor, No.75, East Fifth Road, Xingsha",box
797.77,319.61,946.66,339.7,86-065 Lochowo,box
133.81,338.2,597.21,359.79,Changsha Economic & Technical Development Zone,box
797.77,344.27,1027.95,365.28,Lochowice ul.  Nakielska 7,box
133.92,361.85,465.09,380.33,"410129 Changsha Hunan, P.R.China",box
796.86,369.84,1076.36,392.68,VAT reg. no.: PL554-023-67-72,box
133.94,382.91,464.31,405.8,VAT reg. no.:91430100MA4L3K3970,box
796.62,394.72,980.06,417.6,Supplier no.: 636093,box
133.53,406.8,185.54,423.12,China,box
284.55,452.75,411.94,473.9,Payment date:,box
118.31,453.96,201.82,472.46,Inv. date:,box
914.44,454.49,1093.94,481.29,Invoice no.:,box
119.0,475.0,199.0,498.0,10.12.19,document_date
284.9,476.96,362.87,495.9,24.01.20,box
959.0,482.62,1095.0,512.62,F191276,invoice_no
347.03,514.81,443.89,544.61,57162961,contract_no
827.24,516.17,900.68,539.19,AB0531,box
561.99,517.27,657.35,539.19,Our order:,box
124.6,519.46,211.24,541.38,Your PO:,box
1004.04,532.72,1056.65,555.74,Page:,box
1073.09,533.82,1089.54,552.45,1,box
827.24,543.57,895.2,567.69,190827,box
566.37,545.77,726.4,568.78,Our delivery note:,box
121.69,546.97,175.4,569.99,from:,box
352.47,547.0,449.21,567.61,11.07.2016,box
798.15,590.33,877.07,616.64,VAT %,box
645.58,591.65,756.06,615.32,Total price,box
905.48,591.91,992.29,616.9,Discount,box
1051.48,591.91,1109.35,615.59,Gross,box
399.61,592.96,456.17,619.27,UOM,box
115.99,593.66,243.13,618.87,Seq. Item no.,box
302.32,593.66,388.92,619.97,Quantity,box
930.82,634.44,964.8,658.55,%,box
256.03,637.84,367.47,661.0,Description,box
512.17,640.65,610.36,664.2,Unit price,box
255.12,664.33,332.76,686.2,PKWiU,box
562.0,680.0,614.0,706.0,EUR,currency
701.0,680.0,752.0,706.0,EUR,currency
1032.0,680.0,1083.0,706.0,EUR,currency
256.95,690.81,316.32,712.13,CPSN,box
164.74,729.65,252.71,746.9,1004.336.580,box
678.24,729.76,758.74,751.03,"6 108,29",box
808.19,729.76,848.43,749.88,0 %,box
1013.67,730.44,1092.32,751.14,"6 108,29",box
363.18,730.71,414.23,750.72,3840,box
553.48,731.49,611.55,751.04,"159,07",box
118.41,734.96,129.2,751.45,1,box
421.24,736.08,454.01,755.06,pcs,box
555.78,756.21,617.3,778.06,"100,00",box
210.22,759.08,386.74,780.36,Burstenhalter R70,box
494.26,759.08,523.58,779.21,per,box
704.43,830.52,747.48,856.19,Net,box
1039.75,831.35,1096.05,855.36,Gross,box
870.02,832.18,920.52,857.02,VAT,box
506.55,839.63,564.51,861.16,Total:,box
1018.0,881.0,1144.0,908.0,"6 108,29 EUR",amount_currency
877.47,881.86,927.98,908.35,"0,00",box
508.21,885.17,562.85,906.69,Total,box
680.42,886.0,761.56,905.87,"6 108,29",box
809.0,958.86,1080.56,983.7,Record(%) Value Added Tax,box
713.78,960.51,753.52,981.21,Net,box
467.88,962.17,608.63,986.5,VAT Summary,box
812.31,996.94,857.85,1021.78,"0,00",box
866.96,999.43,895.11,1021.78,%,box
675.7,1000.25,760.98,1025.92,"6 108,29",box
982.04,1000.25,1024.26,1023.44,"0,00",box
326.0,1130.76,426.0,1157.76,45T netto,payment_terms
113.77,1135.87,271.91,1160.71,Payment terms:,box
113.27,1178.51,327.71,1202.52,Term of delivery: EXW,box
113.4,1205.7,452.05,1229.3,Mode of transportation: Sea freight,box
114.31,1232.73,348.68,1254.69,Statistical nr.: 85119000,box
112.0,1301.0,309.0,1321.0,Payment terms: 45 Days,payment_terms
112.7,1325.01,345.08,1344.65,Country of origin: POLAND,box
112.88,1346.73,446.19,1367.1,"Gross weight: 286,0; Net weight: 265,421",box
112.39,1368.9,545.21,1387.57,"Number of volumes: 0,9984 qbm; Number of boxes: 1",box
114.47,1390.09,386.38,1408.45,Dimensions: 1200x800x1040 mm,box
113.48,1419.2,723.4,1442.6,Bank account： IBAN: PL76 2490 0005 0000 4600 3954 8189,box
113.48,1446.75,322.54,1468.83,SWIFT: ALBPPLPW,box
