xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
546.74,254.27,608.3,282.68,Copy,box,Changsha Economic & Technical Development Zone,80.51999999999998,5,,0.0,-1,0.0,0.0
795.0,290.0,992.0,317.0,Pol-Elektra Sp.z o.o.,seller_name,86-065 Lochowo,26.154999999999973,4,,0.0,-1,26.154999999999973,0.0
132.43,292.82,524.43,315.82,"SEG Automotive Product (China).Co.,Ltd.",buyer_name,"6th Floor, No.75, East Fifth Road, Xingsha",22.430000000000007,3,Pol-Elektra Sp.z o.o.,565.07,1,22.430000000000007,565.07
133.37,317.5,506.03,336.0,"6th Floor, No.75, East Fifth Road, Xingsha",box,Changsha Economic & Technical Development Zone,22.245000000000005,5,86-065 Lochowo,552.5149999999999,4,22.245000000000005,0.0
797.77,319.61,946.66,339.7,86-065 Lochowo,box,Lochowice ul.  Nakielska 7,25.120000000000005,6,,0.0,-1,25.120000000000005,0.0
133.81,338.2,597.21,359.79,Changsha Economic & Technical Development Zone,box,"410129 Changsha Hunan, P.R.China",22.095000000000027,7,86-065 Lochowo,506.7049999999999,4,22.095000000000027,506.7049999999999
797.77,344.27,1027.95,365.28,Lochowice ul.  Nakielska 7,box,VAT reg. no.: PL554-023-67-72,26.485000000000014,8,,0.0,-1,26.485000000000014,0.0
133.92,361.85,465.09,380.33,"410129 Changsha Hunan, P.R.China",box,VAT reg. no.:91430100MA4L3K3970,23.264999999999986,9,Lochowice ul.  Nakielska 7,613.355,6,23.264999999999986,613.355
796.86,369.84,1076.36,392.68,VAT reg. no.: PL554-023-67-72,box,Supplier no.: 636093,24.900000000000034,10,,0.0,-1,24.900000000000034,0.0
133.94,382.91,464.31,405.8,VAT reg. no.:91430100MA4L3K3970,box,China,20.605000000000018,11,Supplier no.: 636093,589.2149999999999,10,20.605000000000018,589.2149999999999
796.62,394.72,980.06,417.6,Supplier no.: 636093,box,Invoice no.:,61.72999999999996,14,,0.0,-1,61.72999999999996,0.0
133.53,406.8,185.54,423.12,China,box,Inv. date:,48.24999999999994,13,Supplier no.: 636093,728.805,10,48.24999999999994,0.0
284.55,452.75,411.94,473.9,Payment date:,box,24.01.20,23.10499999999996,16,Invoice no.:,655.945,14,23.10499999999996,655.945
118.31,453.96,201.82,472.46,Inv. date:,box,10.12.19,23.29000000000002,15,Payment date:,188.18,12,23.29000000000002,188.18
914.44,454.49,1093.94,481.29,Invoice no.:,box,F191276,29.730000000000018,17,,0.0,-1,29.730000000000018,0.0
119.0,475.0,199.0,498.0,10.12.19,document_date,Your PO:,43.92000000000007,21,24.01.20,164.885,16,43.92000000000007,164.885
284.9,476.96,362.87,495.9,24.01.20,box,57162961,43.280000000000086,18,Invoice no.:,680.3050000000001,14,43.280000000000086,0.0
959.0,482.62,1095.0,512.62,F191276,invoice_no,1,45.514999999999986,23,,0.0,-1,45.514999999999986,0.0
347.03,514.81,443.89,544.61,57162961,contract_no,11.07.2016,27.595000000000027,27,Our order:,214.2100000000001,20,27.595000000000027,214.2100000000001
827.24,516.17,900.68,539.19,AB0531,box,190827,27.950000000000045,24,Page:,166.385,22,27.950000000000045,166.385
561.99,517.27,657.35,539.19,Our order:,box,Our delivery note:,29.04499999999996,25,AB0531,254.28999999999996,19,29.04499999999996,254.28999999999996
124.6,519.46,211.24,541.38,Your PO:,box,from:,28.059999999999945,26,57162961,227.53999999999996,18,28.059999999999945,227.53999999999996
1004.04,532.72,1056.65,555.74,Page:,box,Gross,59.51999999999998,31,1,50.97000000000003,23,59.51999999999998,50.97000000000003
1073.09,533.82,1089.54,552.45,1,box,Gross,60.61500000000001,31,,0.0,-1,0.0,0.0
827.24,543.57,895.2,567.69,190827,box,VAT %,47.854999999999905,28,Page:,169.125,22,47.854999999999905,0.0
566.37,545.77,726.4,568.78,Our delivery note:,box,Total price,46.210000000000036,29,190827,214.83500000000004,24,46.210000000000036,214.83500000000004
121.69,546.97,175.4,569.99,from:,box,Seq. Item no.,47.78499999999997,33,11.07.2016,252.29500000000002,27,47.78499999999997,252.29500000000002
352.47,547.0,449.21,567.61,11.07.2016,box,UOM,48.809999999999945,32,Our delivery note:,245.54499999999996,25,48.809999999999945,245.54499999999996
798.15,590.33,877.07,616.64,VAT %,box,0 %,136.33499999999992,45,Discount,111.27499999999998,30,136.33499999999992,111.27499999999998
